datasets1/00001.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00109.png: JAGGED_BOUNDARY (area=3828px, blobs=1, roughness=30.098)
datasets1/00111.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/00112.png: JAGGED_BOUNDARY (area=1266px, blobs=2, roughness=5.818)
datasets1/00113.png: JAGGED_BOUNDARY (area=951px, blobs=2, roughness=4.97)
datasets1/00114.png: JAGGED_BOUNDARY (area=1049px, blobs=2, roughness=7.272)
datasets1/00115.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00116.png: JAGGED_BOUNDARY (area=3669px, blobs=2, roughness=6.264)
datasets1/00120.png: JAGGED_BOUNDARY (area=6306px, blobs=2, roughness=8.158)
datasets1/00124.png: JAGGED_BOUNDARY (area=3316px, blobs=2, roughness=18.612)
datasets1/00125.png: JAGGED_BOUNDARY (area=3528px, blobs=2, roughness=6.322)
datasets1/00126.png: JAGGED_BOUNDARY (area=6674px, blobs=1, roughness=14.781)
datasets1/00127.png: JAGGED_BOUNDARY (area=6997px, blobs=4, roughness=3.673)
datasets1/00129.png: JAGGED_BOUNDARY (area=625px, blobs=1, roughness=8.446)
datasets1/00132.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00134.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/00135.png: JAGGED_BOUNDARY (area=3488px, blobs=1, roughness=11.037)
datasets1/00137.png: JAGGED_BOUNDARY (area=3922px, blobs=1, roughness=20.522)
datasets1/00139.png: JAGGED_BOUNDARY (area=441px, blobs=1, roughness=4.146)
datasets1/00140.png: JAGGED_BOUNDARY (area=735px, blobs=2, roughness=10.69)
datasets1/00143.png: JAGGED_BOUNDARY (area=6868px, blobs=1, roughness=14.312)
datasets1/00145.png: JAGGED_BOUNDARY (area=12295px, blobs=4, roughness=4.78)
datasets1/00147.png: JAGGED_BOUNDARY (area=3488px, blobs=1, roughness=11.037)
datasets1/00149.png: JAGGED_BOUNDARY (area=370px, blobs=1, roughness=4.043)
datasets1/00150.png: JAGGED_BOUNDARY (area=3274px, blobs=1, roughness=21.248)
datasets1/00151.png: JAGGED_BOUNDARY (area=3635px, blobs=1, roughness=19.175)
datasets1/00154.png: JAGGED_BOUNDARY (area=1151px, blobs=2, roughness=7.503)
datasets1/00158.png: JAGGED_BOUNDARY (area=3169px, blobs=1, roughness=10.66)
datasets1/00159.png: JAGGED_BOUNDARY (area=3345px, blobs=1, roughness=20.667)
datasets1/00160.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00161.png: JAGGED_BOUNDARY (area=3158px, blobs=2, roughness=6.383)
datasets1/00162.png: JAGGED_BOUNDARY (area=3465px, blobs=2, roughness=17.433)
datasets1/00165.png: JAGGED_BOUNDARY (area=3938px, blobs=3, roughness=5.118)
datasets1/00167.png: JAGGED_BOUNDARY (area=10935px, blobs=6, roughness=4.134)
datasets1/00171.png: JAGGED_BOUNDARY (area=3430px, blobs=1, roughness=25.387)
datasets1/00174.png: JAGGED_BOUNDARY (area=2115px, blobs=2, roughness=8.374)
datasets1/00175.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00177.png: JAGGED_BOUNDARY (area=2706px, blobs=1, roughness=11.797)
datasets1/00178.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/00179.png: JAGGED_BOUNDARY (area=1900px, blobs=2, roughness=11.901)
datasets1/00180.png: JAGGED_BOUNDARY (area=694px, blobs=1, roughness=8.371)
datasets1/00184.png: JAGGED_BOUNDARY (area=1178px, blobs=2, roughness=7.219)
datasets1/00185.png: JAGGED_BOUNDARY (area=22879px, blobs=1, roughness=5.735)
datasets1/00187.png: JAGGED_BOUNDARY (area=12465px, blobs=5, roughness=4.003)
datasets1/00188.png: JAGGED_BOUNDARY (area=18359px, blobs=2, roughness=3.527)
datasets1/00189.png: JAGGED_BOUNDARY (area=3907px, blobs=2, roughness=6.249)
datasets1/00192.png: JAGGED_BOUNDARY (area=3241px, blobs=1, roughness=12.906)
datasets1/00195.png: JAGGED_BOUNDARY (area=3211px, blobs=2, roughness=6.37)
datasets1/00197.png: JAGGED_BOUNDARY (area=458px, blobs=1, roughness=3.989)
datasets1/00198.png: JAGGED_BOUNDARY (area=16862px, blobs=1, roughness=3.567)
datasets1/00200.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00201.png: JAGGED_BOUNDARY (area=12394px, blobs=5, roughness=4.202)
datasets1/00202.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00204.png: JAGGED_BOUNDARY (area=694px, blobs=1, roughness=8.371)
datasets1/00206.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00207.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/00208.png: JAGGED_BOUNDARY (area=2444px, blobs=1, roughness=11.416)
datasets1/00209.png: JAGGED_BOUNDARY (area=4251px, blobs=2, roughness=13.266)
datasets1/00210.png: JAGGED_BOUNDARY (area=4415px, blobs=1, roughness=20.845)
datasets1/00213.png: JAGGED_BOUNDARY (area=6272px, blobs=3, roughness=6.054)
datasets1/00217.png: JAGGED_BOUNDARY (area=3644px, blobs=2, roughness=16.573)
datasets1/00218.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00221.png: JAGGED_BOUNDARY (area=15089px, blobs=1, roughness=3.547)
datasets1/00223.png: JAGGED_BOUNDARY (area=682px, blobs=1, roughness=8.244)
datasets1/00226.png: JAGGED_BOUNDARY (area=5991px, blobs=2, roughness=8.519)
datasets1/00227.png: JAGGED_BOUNDARY (area=12085px, blobs=4, roughness=4.97)
datasets1/00230.png: JAGGED_BOUNDARY (area=3459px, blobs=2, roughness=17.543)
datasets1/00234.png: JAGGED_BOUNDARY (area=2376px, blobs=1, roughness=11.306)
datasets1/00235.png: JAGGED_BOUNDARY (area=1780px, blobs=2, roughness=12.85)
datasets1/00236.png: JAGGED_BOUNDARY (area=3063px, blobs=1, roughness=20.928)
datasets1/00237.png: JAGGED_BOUNDARY (area=3802px, blobs=2, roughness=15.05)
datasets1/00243.png: JAGGED_BOUNDARY (area=3380px, blobs=1, roughness=21.158)
datasets1/00245.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00247.png: JAGGED_BOUNDARY (area=3163px, blobs=3, roughness=3.807)
datasets1/00250.png: JAGGED_BOUNDARY (area=6311px, blobs=2, roughness=8.219)
datasets1/00251.png: JAGGED_BOUNDARY (area=3949px, blobs=1, roughness=10.762)
datasets1/00253.png: JAGGED_BOUNDARY (area=4449px, blobs=1, roughness=13.317)
datasets1/00255.png: JAGGED_BOUNDARY (area=8188px, blobs=5, roughness=3.547)
datasets1/00256.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00258.png: JAGGED_BOUNDARY (area=3950px, blobs=2, roughness=15.56)
datasets1/00260.png: JAGGED_BOUNDARY (area=798px, blobs=1, roughness=8.694)
datasets1/00262.png: JAGGED_BOUNDARY (area=2865px, blobs=1, roughness=9.492)
datasets1/00263.png: JAGGED_BOUNDARY (area=11265px, blobs=5, roughness=4.3)
datasets1/00265.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00266.png: JAGGED_BOUNDARY (area=3838px, blobs=2, roughness=15.279)
datasets1/00267.png: JAGGED_BOUNDARY (area=380px, blobs=1, roughness=4.196)
datasets1/00269.png: JAGGED_BOUNDARY (area=206px, blobs=1, roughness=3.56)
datasets1/00270.png: JAGGED_BOUNDARY (area=5045px, blobs=4, roughness=3.626)
datasets1/00272.png: JAGGED_BOUNDARY (area=3506px, blobs=1, roughness=12.647)
datasets1/00274.png: JAGGED_BOUNDARY (area=2425px, blobs=2, roughness=7.913)
datasets1/00276.png: JAGGED_BOUNDARY (area=6324px, blobs=2, roughness=8.361)
datasets1/00278.png: JAGGED_BOUNDARY (area=9641px, blobs=3, roughness=4.227)
datasets1/00280.png: JAGGED_BOUNDARY (area=361px, blobs=1, roughness=4.08)
datasets1/00281.png: JAGGED_BOUNDARY (area=370px, blobs=1, roughness=4.043)
datasets1/00282.png: JAGGED_BOUNDARY (area=6288px, blobs=2, roughness=8.114)
datasets1/00284.png: JAGGED_BOUNDARY (area=335px, blobs=1, roughness=4.074)
datasets1/00285.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00291.png: JAGGED_BOUNDARY (area=3688px, blobs=1, roughness=10.269)
datasets1/00292.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00293.png: JAGGED_BOUNDARY (area=10986px, blobs=2, roughness=4.174)
datasets1/00297.png: JAGGED_BOUNDARY (area=858px, blobs=1, roughness=7.976)
datasets1/00298.png: JAGGED_BOUNDARY (area=3411px, blobs=1, roughness=20.844)
datasets1/00299.png: JAGGED_BOUNDARY (area=2315px, blobs=2, roughness=7.985)
datasets1/00300.png: JAGGED_BOUNDARY (area=21765px, blobs=1, roughness=3.611)
datasets1/00301.png: JAGGED_BOUNDARY (area=2292px, blobs=2, roughness=7.913)
datasets1/00302.png: JAGGED_BOUNDARY (area=3133px, blobs=2, roughness=6.388)
datasets1/00304.png: JAGGED_BOUNDARY (area=23891px, blobs=1, roughness=4.253)
datasets1/00307.png: JAGGED_BOUNDARY (area=1131px, blobs=3, roughness=3.846)
datasets1/00311.png: JAGGED_BOUNDARY (area=1174px, blobs=2, roughness=7.677)
datasets1/00312.png: JAGGED_BOUNDARY (area=3364px, blobs=3, roughness=3.599)
datasets1/00315.png: JAGGED_BOUNDARY (area=3765px, blobs=1, roughness=20.419)
datasets1/00316.png: JAGGED_BOUNDARY (area=2466px, blobs=2, roughness=6.908)
datasets1/00317.png: JAGGED_BOUNDARY (area=4366px, blobs=1, roughness=20.83)
datasets1/00318.png: JAGGED_BOUNDARY (area=539px, blobs=2, roughness=4.03)
datasets1/00319.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.126)
datasets1/00320.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00322.png: JAGGED_BOUNDARY (area=3550px, blobs=2, roughness=11.481)
datasets1/00324.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00325.png: JAGGED_BOUNDARY (area=373px, blobs=1, roughness=4.074)
datasets1/00327.png: JAGGED_BOUNDARY (area=3520px, blobs=1, roughness=20.769)
datasets1/00328.png: JAGGED_BOUNDARY (area=22553px, blobs=1, roughness=4.82)
datasets1/00331.png: JAGGED_BOUNDARY (area=1098px, blobs=2, roughness=4.856)
datasets1/00333.png: JAGGED_BOUNDARY (area=5924px, blobs=2, roughness=8.663)
datasets1/00335.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00338.png: JAGGED_BOUNDARY (area=5662px, blobs=1, roughness=17.666)
datasets1/00340.png: JAGGED_BOUNDARY (area=20566px, blobs=1, roughness=5.74)
datasets1/00341.png: JAGGED_BOUNDARY (area=3537px, blobs=2, roughness=16.375)
datasets1/00343.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/00344.png: JAGGED_BOUNDARY (area=11954px, blobs=5, roughness=4.98)
datasets1/00347.png: JAGGED_BOUNDARY (area=18517px, blobs=1, roughness=3.523)
datasets1/00349.png: JAGGED_BOUNDARY (area=2390px, blobs=2, roughness=8.111)
datasets1/00353.png: JAGGED_BOUNDARY (area=13667px, blobs=4, roughness=4.88)
datasets1/00354.png: JAGGED_BOUNDARY (area=833px, blobs=1, roughness=7.994)
datasets1/00355.png: JAGGED_BOUNDARY (area=11781px, blobs=5, roughness=4.123)
datasets1/00356.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00357.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00359.png: JAGGED_BOUNDARY (area=3609px, blobs=1, roughness=22.78)
datasets1/00360.png: JAGGED_BOUNDARY (area=3754px, blobs=3, roughness=4.598)
datasets1/00364.png: JAGGED_BOUNDARY (area=13285px, blobs=5, roughness=4.341)
datasets1/00365.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/00366.png: JAGGED_BOUNDARY (area=2385px, blobs=2, roughness=7.702)
datasets1/00369.png: JAGGED_BOUNDARY (area=2635px, blobs=1, roughness=12.068)
datasets1/00370.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00371.png: JAGGED_BOUNDARY (area=381px, blobs=1, roughness=3.922)
datasets1/00372.png: JAGGED_BOUNDARY (area=3764px, blobs=3, roughness=4.927)
datasets1/00373.png: JAGGED_BOUNDARY (area=3777px, blobs=2, roughness=6.411)
datasets1/00374.png: JAGGED_BOUNDARY (area=1462px, blobs=3, roughness=6.916)
datasets1/00375.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00376.png: JAGGED_BOUNDARY (area=865px, blobs=1, roughness=8.029)
datasets1/00377.png: JAGGED_BOUNDARY (area=4274px, blobs=2, roughness=6.437)
datasets1/00380.png: JAGGED_BOUNDARY (area=2655px, blobs=2, roughness=6.951)
datasets1/00382.png: JAGGED_BOUNDARY (area=6867px, blobs=5, roughness=3.609)
datasets1/00383.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00386.png: JAGGED_BOUNDARY (area=3398px, blobs=3, roughness=3.746)
datasets1/00388.png: JAGGED_BOUNDARY (area=21453px, blobs=1, roughness=4.722)
datasets1/00389.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00391.png: JAGGED_BOUNDARY (area=1176px, blobs=2, roughness=7.155)
datasets1/00394.png: JAGGED_BOUNDARY (area=856px, blobs=1, roughness=8.392)
datasets1/00395.png: JAGGED_BOUNDARY (area=20391px, blobs=1, roughness=4.934)
datasets1/00396.png: JAGGED_BOUNDARY (area=319px, blobs=1, roughness=3.996)
datasets1/00400.png: JAGGED_BOUNDARY (area=3399px, blobs=4, roughness=4.23)
datasets1/00401.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00403.png: JAGGED_BOUNDARY (area=12782px, blobs=4, roughness=5.149)
datasets1/00404.png: JAGGED_BOUNDARY (area=6892px, blobs=2, roughness=7.512)
datasets1/00405.png: JAGGED_BOUNDARY (area=374px, blobs=1, roughness=4.15)
datasets1/00406.png: JAGGED_BOUNDARY (area=20810px, blobs=1, roughness=5.96)
datasets1/00407.png: JAGGED_BOUNDARY (area=5661px, blobs=2, roughness=8.997)
datasets1/00413.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00415.png: JAGGED_BOUNDARY (area=5677px, blobs=2, roughness=8.993)
datasets1/00417.png: JAGGED_BOUNDARY (area=11943px, blobs=5, roughness=4.555)
datasets1/00418.png: JAGGED_BOUNDARY (area=2920px, blobs=1, roughness=11.067)
datasets1/00420.png: JAGGED_BOUNDARY (area=11806px, blobs=5, roughness=4.434)
datasets1/00421.png: JAGGED_BOUNDARY (area=2639px, blobs=1, roughness=12.047)
datasets1/00423.png: JAGGED_BOUNDARY (area=682px, blobs=1, roughness=8.244)
datasets1/00424.png: JAGGED_BOUNDARY (area=7048px, blobs=4, roughness=3.667)
datasets1/00427.png: JAGGED_BOUNDARY (area=13219px, blobs=4, roughness=4.787)
datasets1/00429.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00432.png: JAGGED_BOUNDARY (area=324px, blobs=1, roughness=4.122)
datasets1/00436.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/00438.png: JAGGED_BOUNDARY (area=2239px, blobs=2, roughness=7.156)
datasets1/00439.png: JAGGED_BOUNDARY (area=20300px, blobs=1, roughness=3.611)
datasets1/00440.png: JAGGED_BOUNDARY (area=3884px, blobs=3, roughness=5.08)
datasets1/00441.png: JAGGED_BOUNDARY (area=1622px, blobs=2, roughness=8.654)
datasets1/00443.png: JAGGED_BOUNDARY (area=1765px, blobs=2, roughness=7.035)
datasets1/00444.png: JAGGED_BOUNDARY (area=16187px, blobs=1, roughness=3.575)
datasets1/00451.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/00454.png: JAGGED_BOUNDARY (area=5917px, blobs=2, roughness=8.63)
datasets1/00455.png: JAGGED_BOUNDARY (area=3417px, blobs=2, roughness=18.085)
datasets1/00456.png: JAGGED_BOUNDARY (area=1992px, blobs=1, roughness=12.002)
datasets1/00458.png: JAGGED_BOUNDARY (area=3233px, blobs=1, roughness=18.986)
datasets1/00460.png: JAGGED_BOUNDARY (area=1814px, blobs=2, roughness=8.765)
datasets1/00462.png: JAGGED_BOUNDARY (area=2680px, blobs=2, roughness=6.838)
datasets1/00463.png: JAGGED_BOUNDARY (area=2337px, blobs=1, roughness=11.014)
datasets1/00465.png: JAGGED_BOUNDARY (area=21516px, blobs=1, roughness=5.006)
datasets1/00467.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00470.png: JAGGED_BOUNDARY (area=3503px, blobs=1, roughness=10.252)
datasets1/00471.png: JAGGED_BOUNDARY (area=856px, blobs=1, roughness=7.998)
datasets1/00472.png: JAGGED_BOUNDARY (area=3831px, blobs=2, roughness=16.178)
datasets1/00473.png: JAGGED_BOUNDARY (area=2187px, blobs=2, roughness=7.08)
datasets1/00474.png: JAGGED_BOUNDARY (area=6293px, blobs=1, roughness=15.517)
datasets1/00476.png: JAGGED_BOUNDARY (area=8768px, blobs=2, roughness=4.098)
datasets1/00478.png: JAGGED_BOUNDARY (area=3803px, blobs=3, roughness=3.765)
datasets1/00480.png: JAGGED_BOUNDARY (area=22549px, blobs=1, roughness=4.459)
datasets1/00481.png: JAGGED_BOUNDARY (area=360px, blobs=1, roughness=4.031)
datasets1/00482.png: JAGGED_BOUNDARY (area=7319px, blobs=4, roughness=3.589)
datasets1/00484.png: JAGGED_BOUNDARY (area=973px, blobs=3, roughness=4.176)
datasets1/00487.png: JAGGED_BOUNDARY (area=2679px, blobs=1, roughness=12.272)
datasets1/00488.png: JAGGED_BOUNDARY (area=4257px, blobs=3, roughness=3.709)
datasets1/00489.png: JAGGED_BOUNDARY (area=3672px, blobs=1, roughness=19.19)
datasets1/00490.png: JAGGED_BOUNDARY (area=1095px, blobs=2, roughness=7.292)
datasets1/00491.png: JAGGED_BOUNDARY (area=340px, blobs=1, roughness=4.105)
datasets1/00492.png: JAGGED_BOUNDARY (area=20563px, blobs=1, roughness=6.258)
datasets1/00493.png: JAGGED_BOUNDARY (area=418px, blobs=1, roughness=4.277)
datasets1/00494.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00495.png: JAGGED_BOUNDARY (area=3936px, blobs=1, roughness=11.823)
datasets1/00496.png: JAGGED_BOUNDARY (area=2484px, blobs=2, roughness=7.13)
datasets1/00498.png: JAGGED_BOUNDARY (area=978px, blobs=4, roughness=3.512)
datasets1/00500.png: JAGGED_BOUNDARY (area=284px, blobs=1, roughness=4.247)
datasets1/00502.png: JAGGED_BOUNDARY (area=5907px, blobs=4, roughness=3.669)
datasets1/00504.png: JAGGED_BOUNDARY (area=905px, blobs=2, roughness=5.311)
datasets1/00505.png: JAGGED_BOUNDARY (area=3250px, blobs=2, roughness=6.461)
datasets1/00509.png: JAGGED_BOUNDARY (area=5348px, blobs=4, roughness=3.66)
datasets1/00510.png: JAGGED_BOUNDARY (area=367px, blobs=1, roughness=4.082)
datasets1/00511.png: JAGGED_BOUNDARY (area=821px, blobs=1, roughness=7.868)
datasets1/00513.png: JAGGED_BOUNDARY (area=19737px, blobs=1, roughness=6.143)
datasets1/00515.png: JAGGED_BOUNDARY (area=1827px, blobs=2, roughness=8.511)
datasets1/00516.png: JAGGED_BOUNDARY (area=1171px, blobs=2, roughness=5.105)
datasets1/00517.png: JAGGED_BOUNDARY (area=2452px, blobs=1, roughness=11.461)
datasets1/00519.png: JAGGED_BOUNDARY (area=2951px, blobs=1, roughness=10.864)
datasets1/00521.png: JAGGED_BOUNDARY (area=3152px, blobs=3, roughness=3.667)
datasets1/00526.png: JAGGED_BOUNDARY (area=3504px, blobs=2, roughness=6.827)
datasets1/00528.png: JAGGED_BOUNDARY (area=2049px, blobs=2, roughness=8.091)
datasets1/00530.png: JAGGED_BOUNDARY (area=1841px, blobs=2, roughness=6.931)
datasets1/00531.png: JAGGED_BOUNDARY (area=3419px, blobs=1, roughness=16.631)
datasets1/00532.png: JAGGED_BOUNDARY (area=3451px, blobs=2, roughness=17.555)
datasets1/00534.png: JAGGED_BOUNDARY (area=427px, blobs=1, roughness=4.042)
datasets1/00538.png: JAGGED_BOUNDARY (area=2271px, blobs=2, roughness=7.277)
datasets1/00539.png: JAGGED_BOUNDARY (area=408px, blobs=1, roughness=4.016)
datasets1/00540.png: JAGGED_BOUNDARY (area=3767px, blobs=1, roughness=20.516)
datasets1/00542.png: JAGGED_BOUNDARY (area=11379px, blobs=5, roughness=4.218)
datasets1/00543.png: JAGGED_BOUNDARY (area=21837px, blobs=1, roughness=3.599)
datasets1/00545.png: JAGGED_BOUNDARY (area=3365px, blobs=2, roughness=16.967)
datasets1/00546.png: JAGGED_BOUNDARY (area=3613px, blobs=2, roughness=16.152)
datasets1/00547.png: JAGGED_BOUNDARY (area=1130px, blobs=2, roughness=6.745)
datasets1/00548.png: JAGGED_BOUNDARY (area=3816px, blobs=1, roughness=11.607)
datasets1/00549.png: JAGGED_BOUNDARY (area=2063px, blobs=2, roughness=8.144)
datasets1/00550.png: JAGGED_BOUNDARY (area=3611px, blobs=3, roughness=3.648)
datasets1/00551.png: JAGGED_BOUNDARY (area=2330px, blobs=2, roughness=7.349)
datasets1/00552.png: JAGGED_BOUNDARY (area=20196px, blobs=1, roughness=5.045)
datasets1/00553.png: JAGGED_BOUNDARY (area=1167px, blobs=3, roughness=3.848)
datasets1/00554.png: JAGGED_BOUNDARY (area=20980px, blobs=1, roughness=5.871)
datasets1/00555.png: JAGGED_BOUNDARY (area=435px, blobs=1, roughness=4.083)
datasets1/00556.png: JAGGED_BOUNDARY (area=607px, blobs=2, roughness=21.228)
datasets1/00557.png: JAGGED_BOUNDARY (area=8814px, blobs=5, roughness=3.894)
datasets1/00558.png: JAGGED_BOUNDARY (area=12010px, blobs=5, roughness=4.407)
datasets1/00560.png: JAGGED_BOUNDARY (area=5356px, blobs=4, roughness=3.711)
